Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
55,1.100000,-0.022798,0.021806,0.003760,-0.999495,0.012802,0.214879,0.027985,0.000111
56,1.120000,-0.022895,0.022864,0.004040,-0.999468,0.012500,0.214820,0.027985,0.000105
57,1.140000,-0.023076,0.024370,0.004056,-0.999429,0.012158,0.214757,0.027998,0.000115
58,1.160000,-0.023275,0.026131,0.004304,-0.999378,0.011711,0.214745,0.027994,0.000172
59,1.180000,-0.023348,0.027954,0.004399,-0.999327,0.011220,0.214746,0.028002,0.000158
60,1.200000,-0.023074,0.030104,0.004362,-0.999271,0.010618,0.214726,0.028004,0.000128
61,1.220000,-0.022934,0.032547,0.004512,-0.999197,0.010002,0.214753,0.028017,0.000178
62,1.240000,-0.023115,0.035143,0.004729,-0.999104,0.009364,0.214739,0.028023,0.000162
63,1.260000,-0.023157,0.037950,0.004560,-0.999001,0.008671,0.214718,0.028019,0.000176
64,1.280000,-0.023164,0.040897,0.005229,-0.998881,0.007954,0.214713,0.028009,0.000177
65,1.300000,-0.023763,0.043271,0.005292,-0.998767,0.007153,0.214689,0.028045,0.000210
66,1.320000,-0.023543,0.046854,0.005059,-0.998612,0.006197,0.214733,0.027992,0.000263
67,1.340000,-0.023578,0.049915,0.005535,-0.998460,0.005305,0.214727,0.027953,0.000272
68,1.360000,-0.023595,0.052943,0.005785,-0.998302,0.004416,0.214657,0.027955,0.000166
69,1.380000,-0.023670,0.056891,0.005698,-0.998083,0.003434,0.214627,0.027942,0.000159
70,1.400000,-0.023687,0.060809,0.006458,-0.997847,0.002380,0.214621,0.027893,0.000162
71,1.420000,-0.023284,0.064808,0.006503,-0.997605,0.001260,0.214681,0.027815,0.000182
72,1.440000,-0.023388,0.068263,0.006981,-0.997369,0.000089,0.214793,0.027757,0.000189
73,1.460000,-0.024191,0.072789,0.007086,-0.997029,-0.001024,0.214862,0.027766,0.000217
74,1.480000,-0.023490,0.076478,0.007488,-0.996766,-0.002159,0.214879,0.027596,0.000178
75,1.500000,-0.024355,0.080867,0.007728,-0.996397,-0.003227,0.214904,0.027538,0.000189
76,1.520000,-0.023483,0.084196,0.008181,-0.996139,-0.004389,0.214823,0.027284,0.000189
77,1.540000,-0.025179,0.088484,0.008360,-0.995724,-0.005555,0.214663,0.027167,0.000213
78,1.560000,-0.027255,0.093324,0.008853,-0.995223,-0.006741,0.214343,0.027053,0.000231
79,1.580000,-0.027980,0.099418,0.008518,-0.994616,-0.008036,0.213854,0.026919,0.000262
80,1.600000,-0.029637,0.105227,0.008531,-0.993970,-0.009324,0.213236,0.026760,0.000270
81,1.620000,-0.032470,0.109750,0.008832,-0.993389,-0.010777,0.212546,0.026487,0.000279
82,1.640000,-0.035741,0.114951,0.008792,-0.992689,-0.012310,0.211793,0.026235,0.000281
83,1.660000,-0.039224,0.120592,0.009771,-0.991879,-0.013776,0.211059,0.025950,0.000321
84,1.680000,-0.042557,0.126008,0.009784,-0.991068,-0.015333,0.210243,0.025600,0.000306
85,1.700000,-0.046182,0.130439,0.010632,-0.990323,-0.016823,0.209321,0.025336,0.000333
86,1.720000,-0.051073,0.135763,0.011518,-0.989357,-0.018368,0.208267,0.024945,0.000336
87,1.740000,-0.053563,0.142109,0.012370,-0.988323,-0.019887,0.207136,0.024620,0.000346
88,1.760000,-0.058010,0.147514,0.013427,-0.987266,-0.021399,0.206034,0.024152,0.000359
89,1.780000,-0.062445,0.152509,0.013114,-0.986240,-0.022857,0.204837,0.023732,0.000334
90,1.800000,-0.067519,0.157178,0.012897,-0.985175,-0.024282,0.203560,0.023313,0.000315
91,1.820000,-0.072874,0.161739,0.013149,-0.984051,-0.025586,0.202260,0.022911,0.000306
92,1.840000,-0.076945,0.165513,0.013891,-0.983103,-0.026851,0.200891,0.022456,0.000277
93,1.860000,-0.081497,0.169640,0.013338,-0.982040,-0.028102,0.199620,0.022034,0.000315
94,1.880000,-0.086419,0.174596,0.016565,-0.980701,-0.029675,0.198514,0.021432,0.000411
95,1.900000,-0.091843,0.179571,0.018267,-0.979278,-0.031229,0.197553,0.020865,0.000416
96,1.920000,-0.095651,0.184996,0.015110,-0.977957,-0.032304,0.196298,0.020426,0.000371
97,1.940000,-0.100738,0.189804,0.014932,-0.976526,-0.033638,0.195144,0.019906,0.000340
98,1.960000,-0.105790,0.194149,0.015754,-0.975124,-0.034910,0.193728,0.019314,0.000308
99,1.980000,-0.111121,0.198326,0.016319,-0.973680,-0.036212,0.192104,0.018671,0.000354
100,2.000000,-0.117005,0.202886,0.016174,-0.972052,-0.037547,0.190486,0.018048,0.000371
101,2.020000,-0.123308,0.208197,0.016635,-0.970140,-0.038958,0.188865,0.017281,0.000351
102,2.040000,-0.131918,0.215172,0.019514,-0.967429,-0.040505,0.187283,0.016356,0.000743
103,2.060000,-0.137052,0.219247,0.019175,-0.965805,-0.041829,0.185516,0.015625,0.000359
104,2.080000,-0.143700,0.223646,0.018488,-0.963842,-0.043138,0.183890,0.014841,0.000322
105,2.100000,-0.149509,0.228096,0.019284,-0.961898,-0.044356,0.182260,0.014020,0.000337
106,2.120000,-0.155291,0.232444,0.019524,-0.959934,-0.045486,0.180820,0.013273,0.000397
107,2.140000,-0.161272,0.236284,0.020342,-0.957991,-0.046518,0.179305,0.012510,0.000410
108,2.160000,-0.167810,0.239640,0.021062,-0.956017,-0.047560,0.177770,0.011707,0.000343
109,2.180000,-0.173554,0.243292,0.021227,-0.954064,-0.048531,0.176152,0.010900,0.000389
110,2.200000,-0.180502,0.247451,0.022321,-0.951677,-0.049619,0.174565,0.010003,0.000354
111,2.220000,-0.186163,0.250333,0.021783,-0.949843,-0.050633,0.172806,0.009129,0.000402
112,2.240000,-0.193036,0.254224,0.023497,-0.947394,-0.051733,0.171196,0.008197,0.000313
113,2.260000,-0.199064,0.257920,0.023090,-0.945155,-0.052746,0.169569,0.007338,0.000408
114,2.280000,-0.205287,0.260998,0.024641,-0.942937,-0.053702,0.168139,0.006421,0.000382
115,2.300000,-0.210439,0.263599,0.024497,-0.941080,-0.054441,0.166626,0.005572,0.000387
